,Asking price,Asking price per m²,Bathroom facilities,Building type,Energy label,Exterior space attached to the building,Facilities,Garden,Heating,Hot water,Insulation,Kind of house,Listed since,Living area,Location,Number of bath rooms,Number of rooms,Number of stories,Plot size,Specific,Status,Type of parking facilities,Type of roof,Volume in cubic meters,Year of construction,Annual meeting,Balcony/roof garden,Building insurance,CH boiler,External storage space,Located at,Maintenance plan,Periodic contribution,Provisional energy label,Registration with KvK,Reserve fund present,Shed / storage,Type apartment,VVE (Owners Association) contribution,Quality marks,Service charges,Type of garage,Other space inside the building,Garden location,Back garden
0,1740000,6374,"Bath, 2 showers and 2 toilets",Resale,F  ,10,Passive ventilation system and TV via cable,Patio/atrium,Gas heaters,Electrical boiler,Roof insulation,"Single-family home, row house",6 ,273,"Alongside busy road, in center and in residential district",2 bathrooms,"5  ,4 ",4,158,Protected townscape or village view (permit needed for alterations),Available,"Paid parking, public parking and resident's parking permits",Gable roof,1001,1773,,,,,,,,,,,,,,,,,,,,
1,550000,5140,Bath and shower,Resale,,12,Elevator and mechanical ventilation,,CH boiler,CH boiler,,,6+ ,107,In residential district,1 bathroom and 2 separate toilets,"4  ,3 ",2,,,Sold under reservation,"Paid parking, public parking and parking garage",Flat roof,323,1999,Yes,Balcony present,Yes,"Gas-fired combination boiler from 1999, in ownership",8,2 ,Yes,Yes,C ,Yes,Yes,Storage box,Maisonnette (apartment),,,,,,,
2,800000,6504,,Resale,F  ,4,,,CH boiler,CH boiler,,,"March 10, 2022",123,,,"5  ,4 ",2,,,Available,"Paid parking, public parking and resident's parking permits",,412,1931,Yes,Balcony present,Yes,"2011, in ownership",,3 ,Yes,Yes (€ 232.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 232.00  ,,,,,,
4,545000,6124,Shower,New,A+++  ,22,,Sun terrace,District heating,,Completely insulated,,5 ,89,In center and in residential district,1 bathroom and 1 separate toilet,"4  ,3 ",5,,,Under option,Parking garage,,267,2022,No,,No,,,Grou ,No,No,,No,No,,Ground-floor apartment (apartment),,Woningborg garantiecertificaat, 133  ,Underground parking,,,
5,4350000,11417,,New,,110,,Sun terrace,Complete floor heating,,Completely insulated,,4 ,381,Alongside water,1 separate toilet,"6  ,5 ",1,,,Available,Paid parking and parking garage,,1029,2020,,Balcony present,,,,8 ,,,A ,,,Storage box,Penthouse (apartment),,,,,,,
6,325000,3963,Shower and toilet,Resale,E  ,5,Electricity,,Communal central heating,Electrical boiler,No insulation,,"March 4, 2022",82,"Alongside park, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"3  ,2 ",10,,Partly furnished with carpets and curtains,Available,Resident's parking permits,Flat roof,265,1962,Yes,Balcony present,Yes,,6,5 ,Yes,Yes (€ 370.00 per month),,Yes,Yes,Storage box,Apartment with shared street entrance (apartment), 370.00  ,,,,,,
7,795000,8933,Shower and toilet,Resale,F  ,2,"Mechanical ventilation, passive ventilation system and TV via cable",,CH boiler,CH boiler,Roof insulation and partly double glazed,"Single-family home, row house",5 ,89,"Alongside a quiet road, alongside water and in center",1 bathroom and 1 separate toilet,"6  ,2 ",5,27,Monumental building,Sold under reservation,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,324,1623,,Balcony present,,"Remeha Avanta 24C CW3 (gas-fired from 2006, in ownership)",,,,,,,,,,,,,,3 ,,
8,550000,6250,"Bath, shower and toilet",Resale,A  ,,Elevator and TV via cable,,CH boiler,CH boiler,Double glazing,,"March 4, 2022",88,Alongside park and alongside a quiet road,1 bathroom,"3  ,2 ",1,,,Available,Paid parking and resident's parking permits,Flat roof,295,2002,Yes,,Yes,Remeha Tzerra (gas-fired from 2014),6,2 ,Yes,Yes,,Yes,Yes,Storage box,Upstairs apartment (apartment),,, 150  ,,,,
9,2950000,12343,Bath and 2 toilets,Resale,A  ,138,Electricity,Patio/atrium and sun terrace,Communal central heating,Electrical boiler,"Roof insulation, double glazing, energy efficient window, insulated walls and floor insulation",,6+ ,239,"Alongside a quiet road, on navigable waterway, alongside water, in center and unobstructed surrounding view",2 bathrooms,"6  ,3 ",1,,,Sold under reservation,"Paid parking, parking on private property and parking garage",Flat roof covered with asphalt roofing,865,2007,Yes,Balcony present,Yes,,12,10 ,Yes,Yes,,Yes,Yes,Storage box,Penthouse (apartment),,,,Underground parking and parking place,,Located at the south,
10,3408000,14200,,New,,14,"Smart home, elevator, mechanical ventilation, flue and sliding door",,CH boiler and complete floor heating,CH boiler,Completely insulated,,6+ ,240,"Alongside water, in center, in residential district and unobstructed surrounding view",,"4  ,3 ",1,,,Available,,,667,2019,,Balcony present,,"Combination boiler, in ownership",10,3 ,,,,,,Storage box,Mezzanine,,,,"Built-in, underground parking and parking place",,,
11,625000,5342,Toilet,Resale,,16,"Mechanical ventilation, TV via cable and solar panels",,District heating,District heating,Completely insulated,,3 ,117,"Alongside a quiet road, sheltered location, in residential district and unobstructed surrounding view",1 bathroom and 1 separate toilet,"6  ,3 ",4,,,Sold under reservation,Parking garage,Gable roof covered with asphalt roofing,442,2013,Yes,Roof terrace present,Yes,,13,Grou ,Yes,Yes (€ 87.02 per month),,Yes,Yes,,Ground-floor + upstairs apartment (apartment), 87.02  ,,,Underground parking and parking place,,,
12,400000,7273,Shower and toilet,Resale,E 2.16  ,5,Mechanical ventilation,,CH boiler,CH boiler,,,6 ,55,,1 bathroom,"2  ,1 ",1,,,Under offer,,Flat roof,173,1936,Yes,Balcony present,Yes,,6,1 ,Yes,Yes (€ 69.83 per month),,Yes,Yes,Storage box,Mezzanine (apartment), 69.83  ,,,,,,
13,425000,7589,,Resale,A  ,,,,,,,,3 ,56,,,"2  ,1 ",1,,,Sold under reservation,,,213,1988,Yes,,Yes,,,,Yes,Yes (€ 90.00 per month),,Yes,Yes,,Apartment with shared street entrance, 90.00  ,,,,,,
14,625000,6793,Bath and toilet,Resale,A++  ,12,"Elevator, mechanical ventilation, sliding door, TV via cable and solar panels",,Complete floor heating and heat pump,Central facility,Completely insulated,,3 ,92,In residential district,1 bathroom and 1 separate toilet,"3  ,2 ",1,,,Sold under reservation,Paid parking,,310,2021,No,Balcony present and french balcony present,Yes,,8,3 ,No,Yes,,Yes,No,Storage box,Upstairs apartment (apartment),,, 195  ,Parking place,,,
15,450000,8824,"Bath, shower and toilet",Resale,D  ,7,TV via cable,,CH boiler,CH boiler,Double glazing,,"February 28, 2022",51,Alongside a quiet road and in residential district,1 bathroom,"2  ,1 ",1,,,Under offer,Paid parking and resident's parking permits,Flat roof covered with asphalt roofing,142,1901,Yes,Balcony present and french balcony present,Yes,"Intergas (gas-fired combination boiler from 2005, in ownership)",,3 ,Yes,Yes (€ 122.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 122.00  ,,,,,,
16,750000,4658,Bath and shower,Resale,A  ,36,"Mechanical ventilation, passive ventilation system, TV via cable and solar panels",,District heating and heat recovery unit,District heating,Double glazing,,6 ,161,Alongside water and in residential district,1 bathroom and 2 separate toilets,"7  ,5 ",4,,,Sold under reservation,"Paid parking, public parking and resident's parking permits",,544,2006,Yes,Roof terrace present and balcony present,Yes,,,1 ,No,Yes,,Yes,No,,Upstairs apartment (double upstairs apartment),,,,,,,
17,350000,6863,Toilet,Resale,D 1.83  ,,,Back garden and front garden,CH boiler,CH boiler,Double glazing,,"March 5, 2022",51,In residential district,1 bathroom,"2  ,1 ",1,,,Available,"Paid parking, public parking and resident's parking permits",,194,1924,Yes,,Yes,"Intergas (gas-fired from 2011, in ownership)",5,Grou ,Yes,Yes (€ 167.00 per month),,Yes,Yes,,Ground-floor apartment (apartment), 167.00  ,,,,,,
18,1595000,8395,"Bath, shower and 2 toilets",Resale,,,"Alarm installation, smart home, elevator and mechanical ventilation",,CH boiler and gas heater,CH boiler,"Insulated walls, floor insulation and secondary glazing",,4 ,190,In center,2 bathrooms and 1 separate toilet,"3  ,2 ",1,,Listed building (national monument) and monumental building,Available,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,716,1913,Yes,,Yes,"Combiketel (gas-fired combination boiler from 2017, in ownership)",,3 ,Yes,Yes (€ 321.00 per month),,Yes,Yes,,Upstairs apartment (apartment), 321.00  ,,,,1 ,,
19,219000,7300,,Resale,,2,,,Gas heaters,Gas water heater,No insulation,,"March 11, 2022",30,Alongside water and sheltered location,,"1  ,1 ",1,,Listed building (national monument),Available,"Paid parking, public parking and resident's parking permits",Flat roof covered with asphalt roofing,100,1958,Yes,,Yes,,2,1 ,Yes,Yes (€ 155.00 per month),,Yes,Yes,Storage box,Upstairs apartment, 155.00  ,,,,,,
21,350000,7609,Shower and toilet,Resale,A 0.90  ,,Passive ventilation system and TV via cable,Back garden,CH boiler,CH boiler,No insulation,,2 ,46,Alongside a quiet road and in residential district,1 bathroom,"2  ,1 ",1,,,Under offer,Paid parking and resident's parking permits,Gable roof covered with roof tiles,112,1919,Yes,,Yes,"Intergas (gas-fired combination boiler from 2020, in ownership)",6,Grou ,Yes,Yes (€ 67.36 per month),,Yes,Yes,Detached wooden storage,Ground-floor apartment (apartment), 67.36  ,Energie Prestatie Advies,,,,Located at the northwest,"308.636 m² (555,55 meter deep and 555,55 meter broad)"
22,1700000,8500,"Bath, 3 showers and 2 toilets",Resale,,27,,,CH boiler,CH boiler,Double glazing,,"March 12, 2022",200,Alongside a quiet road and in center,3 bathrooms and 1 separate toilet,"5  ,4 ",4,,,Available,Paid parking and public parking,Combination roof,682,1993,No,Roof terrace present and balcony present,No,"Gas-fired combination boiler, in ownership",,1 ,No,No,G ,Yes,No,,Upstairs apartment (apartment),,,,,,,
23,385000,8953,Shower and toilet,Resale,A  ,8,Mechanical ventilation,,CH boiler,CH boiler,Double glazing,,2 ,43,Alongside a quiet road and in residential district,1 bathroom,"2  ,1 ",1,,Protected townscape or village view (permit needed for alterations) and listed building (national monument),Available,Paid parking and resident's parking permits,,143,1925,Yes,Balcony present,Yes,"Intergas (gas-fired combination boiler from 2014, in ownership)",10,,Yes,Yes (€ 91.08 per month),,Yes,Yes,,Upstairs apartment (apartment), 91.08  ,,,,1 ,,
24,535000,9224,Toilet,Resale,C  ,6,Optical fibre,Back garden,CH boiler,CH boiler,Triple glazed,,"March 1, 2022",58,Alongside a quiet road and in residential district,1 bathroom,"2  ,1 ",1,,,Available,Paid parking and resident's parking permits,Gable roof covered with roof tiles,201,1929,Yes,,Yes,"2015, in ownership",6,Grou ,No,Yes (€ 70.00 per month),,Yes,Yes,Detached brick storage,Ground-floor apartment (apartment), 70.00  ,,,,,Located at the west,"52 m² (8 meter deep and 6,5 meter broad)"
